codigo;descricao
56760;FTA MARACUJA LATA 350ML C/6
56320;FTA UVA RETORNAVEL 2L C/9
55464;FTLAR BAG 5L
55445;FTLAR LATA 350ML C6 UNID
55789;G.KUAT PET2 C/8 UND
2355;GEL 1P 230L HEINEKEN
139439;GIN TANQUERAY GAR VD 750ML 1UN
55793;GUARAPAN PET 2L C/8
141054;HALLS CEREJA 28G CX21 588G
141207;HALLS EXTRA FORTE 27,5G CX21
141059;HALLS MELANCIA CX21 588G
141056;HALLS MENTA 28G CX21 588G
141057;HALLS MORANGO 28G CX21
119112;ICE TEA PESSEGO PET 250ml (12)
56773;JACK E COKE LATA 350ML C6
903384;KAISER LATAO 473 ML C/12UND
119065;KAPO FRUTAS CITRICAS 200ML
56010;KUAT LATA 350ML C/6
55707;KUAT PET 600ML C/6
56297;LATA 220ML CC (06)UNIDADES
56053;LATA 220ML CC 12UN
56287;LATA 220ML CC CAFE ESPR C/6
56335;LATA 220ML CC SEM ACUCAR C/6
56337;LATA 220ML FTA GUARANA C/6
56339;LATA 220ML FTA LARANJA C/6
56341;LATA 220ML FTA UVA C/6
56343;LATA 220ML KUAT C/6
56324;LATA 220ML SPRITE C/6
139753;LATA 269ML ABSOLUT VODKA SPRIT
56785;LATA 269ML GIN TONICA SCHW C6
56784;LATA 269ML PINK GIN TONICA SWP
56783;LATA 269ML SCHW SPRITZ C6
56786;LATA 269ML SCHW VODKA & CITRUS
139581;LATA 269ML SMIRNOFF ICE
119116;LATA 290ML ICE TEA LIMAO ZERO
119118;LATA 290ML MATTE LEAO LIMAO CG
139766;LATA 350ML CERPA EXPORT 12UND
903750;LATA 350ML EISENBAHN PILSEN 12
56856;LATA 350ML FTA MISTERIO CHUCKY
143010;LATA269ML JACK E COKE C/6
119474;LEAO CHA BRANCO LICHIA ZERO 1,
119151;LEAO CHA VERDE LIMAO ZERO 1,5L
904701;LN 330ML SOL PREMIUM C/6UND
139765;LN 350ML CERPA EXPORT C6
139680;LN 355ML E.GALICIA PILSEN C/6U
903741;LN 355ML EIS AMERICAN IPA C/6
902544;LN 355ML EIS PALE ALE C6UND
904513;LN 355ML EIS SESSION IPA HILDA
904771;LN 355ML EIS UNFILTERED C/6UN
902581;LN 355ML EIS WEIZENB C/6UN
901781;LN 355ML EISENBAHN C6UND
139649;LN 355ML THEREZOP LAGER  C/6UN
118765;MATTE LEAO LIMAO PET 1,5L C6
118768;MATTE LEAO PESSEGO PET 1,5L C6
118759;MATTE LEÃO NATURAL PET 1,5L C6
141120;MENTOS CLEARBREATH LARANJA MEN
142142;MENTOS COOL WH BLUE RASPB 5P C
142141;MENTOS COOL WH FRESH MINT 5P C
141159;MENTOS FANTA LARANJA STICK 14P
141006;MENTOS FRUTAS STICK 14P
141020;MENTOS FRUTAS VERMELHA STICK C
141007;MENTOS MINT STICK
141019;MENTOS MORANGO IOGURTE STICK
141012;MENTOS PF FRESH MINT 3 CAMADAS
141008;MENTOS PF MINT GARRAFA
141004;MENTOS PF MINT GOMA STICK
141010;MENTOS PF MONOPECA SORTIDO
141202;MENTOS PF MONOPECA SORTIDO 2G
141201;MENTOS PF MONOPECA TUTTI-FRUTT
141013;MENTOS PF SPEARMINT 3 CAMADAS
141016;MENTOS PF UP2U GARRAFA
141009;MENTOS PF WINTERGREEN GARRAFA
141005;MENTOS PF WINTERGREEN GOMA STI
141003;MENTOS PURE FRUIT 3 CAMADAS 5P
141022;MENTOS PURE WHITE GARRAFA
141011;MENTOS RAINBOW STICK
141209;MENTOS STICK MINT C/16UN
141021;MENTOS STRONG MINT SLAB
142153;MENTOS WILD STICK 14P CX16 600
141157;MINI OREO 35G CX10 350G
118984;MONSTER ABSOLUTELY ZERO LATA
119107;MONSTER DRAG TEA LIMAO LT 473M
118469;MONSTER E. ZERO ACUCAR 473ML6
8463;MONSTER ENERGY LATA 473 C/6
119598;MONSTER J RIO PUNCH LT 473ML F
118650;MONSTER KHAOTIC LT 473ML 06
118990;MONSTER MANGO LOCO LATA 473ML
119170;MONSTER PACIFIC PUNCH LT 473ML
119509;MONSTER PIPELINE PUNCH LT 473M
118473;MONSTER U FIESTA MANGO LT473ML
119586;MONSTER U PEACHY KEEN LATA 473
118461;MONSTER ULTRA LT 473ML 6PACK F
119026;MONSTER ULTRA VIOLET LT 473ML
119521;MONSTER ULTRA WATERMELON LT 47
141065;OREO ORIGINAL 36G CX8
119568;PET 1.5L DV F.FRUTAS CITRICAS
119571;PET 1.5L DV FRUT LARANJA C6
119588;PET 1.5L DV FRUT LIMAO C6
119574;PET 1.5L DV FRUT UVA C6
